iri,url,nazev_cs,popis_cs,vytvoreno,aktualizovano,relevantni_do,oznamovatel_ico,oznamovatel_nazev_cs,priloha_urls
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/sberny-dvur-a-svoz-bioodpadu-1-a-8-kvetna-2025-1276cs,https://www.horsovskytyn.cz/aktualne/aktuality/sberny-dvur-a-svoz-bioodpadu-1-a-8-kvetna-2025-1276cs.html,Sběrný dvůr a svoz bioodpadu 1. a 8. května 2025,"Během státních svátků 1. a 8. května 2025 bude sběrný dvůr otevřen v běžné otevírací době od 9:00 do 12.00 a od 14:00 do 18:00. 
Zároveň proběhne i svoz bioodpadu dle plánu. ",2025-04-28T09:50:02+02:00,2025-04-28T09:53:59+02:00,2025-05-09T01:00:00+02:00,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2513
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/uzavreni-vchodu-do-budovy-meu-z-ulice-5-kvetna-1275cs,https://www.horsovskytyn.cz/aktualne/aktuality/uzavreni-vchodu-do-budovy-meu-z-ulice-5-kvetna-1275cs.html,Uzavření vchodu do budovy MěÚ z ulice 5. května,"Z důvodu opravy fasády rohové budovy MěÚ bude vchod z ulice 5. května uzavřen. Prosíme použijte pro vstup do budovy MěÚ vchod z náměstí Republiky (budova radnice).
Děkujeme za pochopení.",2025-04-22T11:03:52+02:00,2025-04-22T11:07:22+02:00,nespecifikovaný,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2512
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/nabidka-prodeje-pozemku-pro-realizaci-stavby-bytovych-domu-v-lokalite-vrchlickeho-1266cs,https://www.horsovskytyn.cz/aktualne/aktuality/nabidka-prodeje-pozemku-pro-realizaci-stavby-bytovych-domu-v-lokalite-vrchlickeho-1266cs.html,Nabídka prodeje pozemků pro realizaci stavby bytových domů v lokalitě Vrchlického,"Město nabízí k prodeji část pozemku parc. č. 1511/26 a část pozemku parc. č. 1522, k. ú. Horšovský Týn, pro realizaci stavby bytových domů  v lokalitě Vrchlického v Horšovském Týně.",2025-04-04T07:57:08+02:00,2025-04-17T14:33:59+02:00,2025-06-01T07:00:00+02:00,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2499
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/uzavreni-meu-2-kvetna-2025-1274cs,https://www.horsovskytyn.cz/aktualne/aktuality/uzavreni-meu-2-kvetna-2025-1274cs.html,Uzavření MěÚ 2. května 2025,"V pátek 2. května 2025 bude Městský úřad Horšovský Týn uzavřen z důvodu plánované odstávky IT systémů. 
Děkujeme za pochopení.",2025-04-14T15:21:44+02:00,2025-04-14T15:39:35+02:00,2025-05-02T15:00:00+02:00,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2510
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/zapis-do-materske-skoly-v-horsovskem-tyne-pro-rok-2025-2026-1268cs,https://www.horsovskytyn.cz/aktualne/aktuality/zapis-do-materske-skoly-v-horsovskem-tyne-pro-rok-2025-2026-1268cs.html,Zápis do mateřské školy v Horšovském Týně pro rok 2025/2026,"Zápis bude probíhat pro obě mateřské školy (MŠ Vančurova, MŠ Pionýrů) a proběhne 6. května 2025 od 8 do 16 hodin na ředitelství MŠ Vančurova.",2025-04-04T09:48:16+02:00,2025-04-17T14:32:13+02:00,2025-05-06T23:00:00+02:00,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2500
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/nabidka-parcel-v-oz-lidicka-za-ucelem-vystavby-rodinneho-domu-1147cs,https://www.horsovskytyn.cz/aktualne/aktuality/nabidka-parcel-v-oz-lidicka-za-ucelem-vystavby-rodinneho-domu-1147cs.html,Nabídka parcel v OZ Lidická za účelem výstavby rodinného domu,Město nabízí k prodeji stavební parcely v Obytné zóně Lidická - VI. etapa (pokračování ul. Žitná) za účelem výstavby rodinného domu.,2023-10-03T07:28:26+02:00,2025-04-02T09:28:09+02:00,nespecifikovaný,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2498
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/uzavreni-rozhledny-na-sibenicnim-vrchu-1265cs,https://www.horsovskytyn.cz/aktualne/aktuality/uzavreni-rozhledny-na-sibenicnim-vrchu-1265cs.html,Uzavření rozhledny na Šibeničním vrchu,"Od pondělí 10.03.2025 bude uzavřena rozhledna na Šibeničním vrchu z důvodu oprav.
Děkujeme za pochopení.",2025-03-07T08:08:54+01:00,2025-03-07T08:11:40+01:00,nespecifikovaný,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2496
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/oznameni-o-provadeni-vyberoveho-setreni-csu-v-domacnostech-1272cs,https://www.horsovskytyn.cz/aktualne/aktuality/oznameni-o-provadeni-vyberoveho-setreni-csu-v-domacnostech-1272cs.html,Oznámení o provádění výběrového šetření ČSÚ v domácnostech,Oznámení o provádění výběrového šetření Českého statistického úřadu v domácnostech,2025-04-10T13:22:00+02:00,2025-04-10T13:39:38+02:00,2025-06-30T00:00:00+02:00,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2509; https://www.horsovskytyn.cz/evt_file.php?file=2508
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/uplna-uzavirka-provozu-husovo-namesti-a-ulice-hrbitovni-horsovsky-tyn-1254cs,https://www.horsovskytyn.cz/aktualne/aktuality/uplna-uzavirka-provozu-husovo-namesti-a-ulice-hrbitovni-horsovsky-tyn-1254cs.html,"ÚPLNÁ UZAVÍRKA PROVOZU - Husovo náměstí a ulice Hřbitovní, Horšovský Týn","Z důvodu rekonstrukce Husova náměstí v Horšovském Týně dojde k úplné uzavírce provozu na místních komunikacích - Husovo náměstí a ulice Hřbitovní, Horšovský Týn, v termínu od 20.01.2025 do 30.06.2025.",2025-01-17T11:36:36+01:00,2025-01-17T13:15:04+01:00,2025-06-30T22:00:00+02:00,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2463; https://www.horsovskytyn.cz/evt_image.php?img=2464
https://www.horsovskytyn.cz/ofn/zprávy/ofn63db8a485d463/rozsireni-pracovni-doby-pecovatelske-sluzby-v-horsovskem-tyne-1253cs,https://www.horsovskytyn.cz/aktualne/aktuality/rozsireni-pracovni-doby-pecovatelske-sluzby-v-horsovskem-tyne-1253cs.html,Rozšíření pracovní doby pečovatelské služby v Horšovském Týně,"Od 01.01.2025 došlo k rozšíření pracovní doby pečovatelské služby do 19 hodin.
",2025-01-15T08:10:13+01:00,2025-01-15T09:57:37+01:00,nespecifikovaný,00253383,Horšovský Týn,https://www.horsovskytyn.cz/evt_image.php?img=2462
