iri,url,nazev_cs,vytvoreno,aktualizovano,vyveseni,relevantni_do,cislo_jednaci,spisova_znacka,agenda_names,document_urls
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5633,https://www.horsovskytyn.cz/urad/uredni-deska/oznameni-o-zameru-mesta-prodat-nemovity-majetek-pozemky-v-obytne-zone-lidicka-horsovsky-tyn-vi-etapa-5633.html,"Oznámení o záměru města prodat nemovitý majetek - pozemky v Obytné zóně Lidická, Horšovský Týn - VI. etapa",2025-05-07T00:00:00+02:00,2025-05-07T00:00:00+02:00,2025-05-07,nespecifikovaný,MUHT 11829/2025,,Dokumenty z Odboru majetku a investic města,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5380_1.pdf&original=%C3%9AD%20-%20z%C3%A1m%C4%9Br%20m%C4%9Bsta-prodej%20pozemk%C5%AF%20H.%20T%C3%BDn%20OZ%20Lidick%C3%A1%20%28%C5%BDitn%C3%A1%29-4%281822797692%29.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5380_2.pdf&original=Situace%20s%20um%C3%ADst%C4%9Bn%C3%ADm%20pozemk%C5%AF%20-OZ%20Lidick%C3%A1%20VI.%20etapa_prodej%20pozemk%C5%AF%282158679384%29.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5380_3.pdf&original=4_C_3_Koordina%C4%8Dn%C3%AD_situa%C4%8Dn%C3%AD_v%C3%BDkres.pdf%282570236967%29.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5380_4.pdf&original=2022-13909-stavebn%C3%AD%20povolen%C3%AD%282873424672%29.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5380_1.odt&original=P%C5%99%C3%ADloha%201%20-%20Vzor%20-%20%C5%BD%C3%A1dost%20o%20odkoupen%C3%AD%20pozemku%20obecn%C4%9B%283176521539%29.odt; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5380_5.pdf&original=P%C5%99%C3%ADloha%201%20-%20Vzor%20-%20%C5%BD%C3%A1dost%20o%20odkoupen%C3%AD%20pozemku%20obecn%C4%9B%280647169114%29.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5380_2.odt&original=P%C5%99%C3%ADloha%202%20-%20Vzor%20-%20%C4%8Cestn%C3%A9%20prohl%C3%A1%C5%A1en%C3%AD%20-%20bezdlu%C5%BEnost%280803884629%29.odt; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5380_6.pdf&original=P%C5%99%C3%ADloha%202%20-%20Vzor%20-%20%C4%8Cestn%C3%A9%20prohl%C3%A1%C5%A1en%C3%AD%20-%20bezdlu%C5%BEnost%281042045131%29.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/4623,https://www.horsovskytyn.cz/urad/uredni-deska/oznameni-osobam-s-trvalym-pobytem-na-uredni-adrese-o-ulozeni-doporucenych-zasilek-4623.html,Oznámení osobám s trvalým pobytem na úřední adrese o uložení doporučených zásilek,2022-12-28T00:00:00+01:00,2024-02-23T00:00:00+01:00,2025-05-06,nespecifikovaný,,,Dokumenty z Odboru kanceláře starosty a vnitřních věcí,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah4414_1.pdf&original=doporu%C4%8D.po%C5%A1ta%20trval%C3%BD%20pobyt%20z%C3%A1pis.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5632,https://www.horsovskytyn.cz/urad/uredni-deska/zavazne-stanovisko-odstraneni-objektu-na-p-c-1215-1-v-k-u-horsovsky-tyn-lazce-5632.html,"Závazné stanovisko - Odstranění objektu na p. č. 1215/1 v k. ú. Horšovský Týn, Lazce",2025-05-06T00:00:00+02:00,2025-05-06T00:00:00+02:00,2025-05-06,2025-05-21,MUHT 9766/2025,OŽPŽÚ 9765/2025 ŽP,Dokumenty z oddělení životní prostředí,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5379_1.pdf&original=059_2025%20Lazce%20odstran%C4%9Bn%C3%AD%20objektu%282828095444%29.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5630,https://www.horsovskytyn.cz/urad/uredni-deska/doruceni-verejnou-vyhlaskou-neznamym-dedicum-po-zemrele-marii-krepelove-5630.html,Doručení veřejnou vyhláškou - neznámým dědicům po zemřelé Marii Křepelové,2025-05-05T00:00:00+02:00,2025-05-05T00:00:00+02:00,2025-05-05,2025-05-20,MUHT 10811/2025,,Dokumenty z odboru Obecní stavební úřad,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5377_1.pdf&original=2025-6970_001.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5624,https://www.horsovskytyn.cz/urad/uredni-deska/fu-pro-plzensky-kraj-verejna-vyhlaska-dan-z-nemovitych-veci-na-rok-2025-5624.html,FÚ pro Plzeňský kraj - Veřejná vyhláška - Daň z nemovitých věcí na rok 2025,2025-04-28T00:00:00+02:00,2025-04-28T00:00:00+02:00,2025-04-30,2025-05-30,MUHT 10794/2025,,Dokumenty cizí,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5371_1.pdf&original=00401159_dne_0515_2500789238_001.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5627,https://www.horsovskytyn.cz/urad/uredni-deska/oznameni-o-zameru-mesta-prenechat-do-pachtu-spoluvlastnikum-sousedniho-pozemku-cast-p-p-c-651-2-k-u-horni-metelsko-5627.html,"Oznámení o záměru města přenechat do pachtu spoluvlastníkům sousedního pozemku - část p. p. č. 651/2, k. ú. Horní Metelsko",2025-04-29T00:00:00+02:00,2025-04-29T00:00:00+02:00,2025-04-29,2025-05-14,MUHT 11017/2025,,Dokumenty z Odboru majetku a investic města,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5374_1.pdf&original=Ozn%C3%A1men%C3%AD%20o%20z%C3%A1m%C4%9Bru%20m%C4%9Bsta%20propachtovat%20nemov.%20majetek%20v%20k.%C3%BA.%20Horn%C3%AD%20Metelsko%2C%20%C4%8D%C3%A1st%20p.%C4%8D.%20651_2%283695399943%29.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5628,https://www.horsovskytyn.cz/urad/uredni-deska/oznameni-o-zameru-mesta-rozsirit-v-souladu-s-cl-ii-bod-ii4-pachtovni-smlouvy-predmet-pachtu-o-inzenyrske-site-5628.html,Oznámení o záměru města rozšířít v souladu s čl. II bod II.4. pachtovní smlouvy předmět pachtu o inženýrské sítě,2025-04-29T00:00:00+02:00,2025-04-29T00:00:00+02:00,2025-04-29,2025-05-14,MUHT 11038/2025,,Dokumenty z Odboru majetku a investic města,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5375_1.pdf&original=Ozn%C3%A1men%C3%AD%20o%20z%C3%A1m%C4%9Bru%20m%C4%9Bsta%20propachtovat%20nemov.%20majetek%20v%20k.%C3%BA.%20H.%20T%C3%BDn%2C%20vodovod%20a%20spla%C5%A1kov%C3%A1%20kanalizace%281944463738%29.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5621,https://www.horsovskytyn.cz/urad/uredni-deska/rozhodnuti-povoleni-zameru-stankov-do-pc1089-9-knn-5621.html,"Rozhodnutí - povolení záměru - Staňkov, DO, p.č.1089/9 - kNN",2025-04-28T00:00:00+02:00,2025-04-28T00:00:00+02:00,2025-04-28,2025-05-13,MUHT  7117/2025,,Dokumenty z odboru Obecní stavební úřad,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5368_1.pdf&original=2025-1687_001.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5622,https://www.horsovskytyn.cz/urad/uredni-deska/verejna-vyhlaska-oop-prechodnou-upravu-provozu-srby-meclov-5622.html,"Veřejná vyhláška - OOP - přechodnou úpravu provozu - Srby, Meclov",2025-04-28T00:00:00+02:00,2025-04-28T00:00:00+02:00,2025-04-28,2025-05-13,MUHT 10726/2025,,Dokumenty z Odboru dopravy a silničního hospodářství,https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5369_1.pdf&original=8912-25%20OOP%20st.%20p%C5%99ech.%20%C3%BApr.%20prov.%20na%20obj.%20trase%20-%20CHVAK_001.pdf; https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5369_2.pdf&original=8912-25%20p%C5%99%C3%ADloha%20OOP.pdf
https://www.horsovskytyn.cz/ofn/úřední-deska/ofn620255f1af440/5623,https://www.horsovskytyn.cz/urad/uredni-deska/informace-o-konani-19-zasedani-zm-5623.html,Informace o konání 19. zasedání ZM,2025-04-28T00:00:00+02:00,2025-04-28T00:00:00+02:00,2025-04-28,2025-05-13,MUHT 10880/2025,,"Informace o místě, době a programu zasedání Zastupitelstva města Horšovský Týn",https://www.horsovskytyn.cz/e_download.php?file=data%2Furedni_deska%2Fobsah5370_1.pdf&original=Informace%20o%20kon%C3%A1n%C3%AD%20ZM%20%C4%8D.%2019_2025_001.pdf
